id,source,category,title,price,rating,review_count,url,img_url,scraped_at,expensive,price_q_5,price_q_25,price_q_50,price_q_75,price_q_95,price_group,price_flag,outlier
24907,microcenter,gpus,MSI NVIDIA GeForce GT 1030 4GHD4 Low Profile Overclocked Passive Cooled 4GB DDR4 PCIe 3.0 Graphics Card,99.99,-1.0,-1,https://www.microcenter.com/product/685551/msi-nvidia-geforce-gt-1030-4ghd4-low-profile-overclocked-passive-cooled-4gb-ddr4-pcie-30-graphics-card,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0685551_756031.jpg,2025-06-30 12:39:15.487719,True,True,True,True,False,False,Mid-High,normal,False
24908,microcenter,laptops,"HP 255 G10 15.6"" Laptop Computer - Dark Ash Silver;  AMD Ryzen 7 7730U 2.0GHz Processor;  16GB DDR4-3200 RAM;  512GB Solid State Drive;  AMD Radeon Graphics",439.99,-1.0,-1,https://www.microcenter.com/product/689653/hp-255-g10-156-laptop-computer-dark-ash-silver,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0689653_795625.jpg,2025-06-30 12:39:15.487719,True,True,True,True,True,False,High,normal,True
24909,microcenter,laptops,"Lenovo ThinkPad E14 Gen 6 14"" Laptop Computer - Black;  Intel Core Ultra 7 155U 1.7GHz Processor;  16GB DDR5-5600 RAM;  512GB Solid State Drive;  Intel Graphics",699.99,-1.0,-1,https://www.microcenter.com/product/694505/lenovo-thinkpad-e14-gen-6-14-laptop-computer-black,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0694505_852426.jpg,2025-06-30 12:39:15.487719,True,True,True,True,True,False,High,normal,True
24910,microcenter,laptops,"Lenovo ThinkPad X1 Carbon Gen 12 14"" Laptop Computer - Eclipse Black;  Intel Core Ultra 7 155H 1.4GHz Processor;  32GB DDR5 Onboard RAM;  1TB Solid State Drive;  intel Graphics",1499.99,-1.0,-1,https://www.microcenter.com/product/695689/lenovo-thinkpad-x1-carbon-gen-12-14-laptop-computer-eclipse-black,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0695689_867226.jpg,2025-06-30 12:39:15.487719,True,True,True,True,True,True,High,normal,True
24911,microcenter,laptops,"ASUS Vivobook 16 Flip TP3607SA-MS77T Copilot+ PC 16"" 2-in-1 Laptop Computer - Matte Gray;  Intel Core Ultra 7 258V 2.2GHz Processor;  32GB LPDDR5X RAM;  1TB Solid State Drive;  Intel Arc Graphics",999.99,-1.0,-1,https://www.microcenter.com/product/694401/asus-vivobook-16-flip-tp3607sa-ms77t-copilot-pc-16-2-in-1-laptop-computer-matte-gray,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0694401_852178.jpg,2025-06-30 12:39:15.487719,True,True,True,True,True,True,High,normal,True
24912,microcenter,laptops,"Dell Inspiron 14 7445 14"" 2-in-1 Laptop Computer - Midnight Blue;  AMD Ryzen 7 8840HS 3.3GHz Processor;  16GB DDR5-5600 RAM;  1TB Solid State Drive;  AMD Radeon Graphics",699.99,-1.0,-1,https://www.microcenter.com/product/696549/dell-inspiron-14-7445-14-2-in-1-laptop-computer-midnight-blue,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0696549_876292.jpg,2025-06-30 12:39:15.487719,True,True,True,True,True,False,High,normal,True
24913,microcenter,laptops,"Lenovo ThinkPad T16 Gen 3 16"" Laptop Computer - Black;  Intel Core Ultra 7 155U 1.7GHz Processor;  16GB DDR5-5600 RAM;  512GB Solid State Drive;  Intel Graphics",899.99,-1.0,-1,https://www.microcenter.com/product/694511/lenovo-thinkpad-t16-gen-3-16-laptop-computer-black,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0694511_852434.jpg,2025-06-30 12:39:15.487719,True,True,True,True,True,True,High,normal,True
24914,microcenter,laptops,"Lenovo Slim 7 14ILL10 Copilot+ PC OLED 14"" Intel Evo Platform Laptop Computer - Luna Grey;  Intel Core Ultra 7 256V 2.2GHz Processor;  16GB LPDDR5x-8533 Onboard RAM;  1TB Solid State Drive;  Intel Arc Graphics 140V",999.99,-1.0,-1,https://www.microcenter.com/product/691935/lenovo-slim-7-14ill10-copilot-pc-oled-14-intel-evo-platform-laptop-computer-luna-grey,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0691935_823088.jpg,2025-06-30 12:39:15.487719,True,True,True,True,True,True,High,normal,True
24915,microcenter,laptops,"Lenovo IdeaPad Flex 5 14IAU7 14"" 2-in-1 Laptop Computer - Storm Grey;  Intel Core i5 12th Gen 1235U 1.3GHz Processor;  8GB LPDDR4x-4266 Onboard RAM;  512GB Solid State Drive;  Intel Iris Xe Graphics",399.99,-1.0,-1,https://www.microcenter.com/product/694342/lenovo-ideapad-flex-5-14iau7-14-2-in-1-laptop-computer-storm-grey,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0694342_850941.jpg,2025-06-30 12:39:15.487719,True,True,True,True,True,False,High,normal,True
24916,microcenter,laptops,"Dell XPS 13 9350 Copilot+ PC 13.4"" Laptop Computer - Platinum;  Intel Core Ultra 7 258V 2.2GHz Processor;  32GB LPDDR5x-8533 Onboard RAM;  1TB Solid State Drive;  Intel Arc Graphics",1999.99,-1.0,-1,https://www.microcenter.com/product/690081/dell-xps-13-9350-copilot-pc-134-laptop-computer-platinum,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0690081_800870.jpg,2025-06-30 12:39:15.487719,True,True,True,True,True,True,High,normal,True
